{saved1=0.018266619726498606, saveda10=0.43145253676524997, saved3=6.352796549091107E-7, savedb10=5.898493761734337E-7, CFJ6UW6tW=0.6673791388787002, savedb0=1.0167686375344745E-4, savedc1=1.4221418377865029E-6, savedb1=9.977016212249697E-7, savedb2=7.451237178149075E-5, savedb3=7.627453937780292E-4, savedb4=1.1406835430124949E-7, savedb5=3.107523441160372E-8, saveda5=0.021269147728853008, savedb6=2.3482191984966618E-6, saveda6=0.02197369407666871, savedb7=0.29131490981700314, saveda7=0.023914271578369017, savedb8=7.880452124911961E-7, saveda8=0.022970942318429673, savedb9=1.5428434999494983E-10, saveda9=0.01971638575070127}
{saved1=0.14793514722110482, saveda10=1.7896526106537473E-4, saved3=1.2066423788760131E-5, savedb10=3.137524937246799E-5, CFJ6UW6tW=2.958146332459125E-4, savedb0=7.83170660227876E-5, savedc1=0.0010271951829910046, savedb1=1.785589746892593E-4, savedb2=7.79058935416556E-6, savedb3=6.755542502726371E-4, savedb4=2.2486363906030547E-7, savedb5=7.872958111319963E-5, saveda5=0.1581791024317379, savedb6=0.0013664852422116695, saveda6=0.16500174215196722, savedb7=6.550766566479993E-4, saveda7=0.16978418783115465, savedb8=0.0011463255563936476, saveda8=0.16991324736559862, savedb9=4.7352567479700287E-4, saveda9=0.15999056020394314}
{saved1=0.14763870725933137, saveda10=2.183269815271403E-4, saved3=1.064382985177845E-5, savedb10=3.2764950971851464E-5, CFJ6UW6tW=3.597347000849551E-4, savedb0=8.576553940199257E-5, savedc1=8.881189567456392E-4, savedb1=1.7941804586541933E-4, savedb2=7.981554236550367E-6, savedb3=7.404795703300769E-4, savedb4=2.3862074422258507E-7, savedb5=7.735196771207323E-5, saveda5=0.1578149548799684, savedb6=0.0013270761112560503, saveda6=0.1646618732551647, savedb7=7.392417422258344E-4, saveda7=0.16943230909885765, savedb8=9.892311278186729E-4, saveda8=0.16954855862147522, savedb9=3.9842270880729845E-4, saveda9=0.15961660457560956}
{saved1=0.018300569788928963, saveda10=0.4317339527495735, saved3=6.349494105586791E-7, savedb10=5.919223777457833E-7, CFJ6UW6tW=0.6674913655448415, savedb0=1.0203988502472602E-4, savedc1=1.416470338479786E-6, savedb1=1.0006292403133975E-6, savedb2=7.454217784758473E-5, savedb3=7.653962463382791E-4, savedb4=1.1426633493893011E-7, savedb5=3.116069794093359E-8, saveda5=0.021307168205182483, savedb6=2.3540524854009875E-6, saveda6=0.02201305272266148, savedb7=0.29082400222961685, saveda7=0.02395603352723875, savedb8=7.900838396608628E-7, saveda8=0.02301133037095933, savedb9=1.548874345024583E-10, saveda9=0.019752028360896158}
{saved1=0.01833245515759381, saveda10=0.43199789143920314, saved3=6.34640104356081E-7, savedb10=5.938733075210293E-7, CFJ6UW6tW=0.6675966952943254, savedb0=1.0238150788122608E-4, savedc1=1.411173175555604E-6, savedb1=1.0033827287771494E-6, savedb2=7.45701080605424E-5, savedb3=7.678907096671251E-4, savedb4=1.144524633522252E-7, savedb5=3.124108416680545E-8, saveda5=0.02134287389819798, savedb6=2.3595376057140072E-6, saveda6=0.02205001514113201, savedb7=0.2903641758101735, saveda7=0.02399525110961959, savedb8=7.919993111437089E-7, saveda8=0.02304925829593216, savedb9=1.554552937001102E-10, saveda9=0.019785501640715953}
{saved1=0.018145920106632102, saveda10=0.4304488398423496, saved3=6.36461524248076E-7, savedb10=5.825149927316178E-7, CFJ6UW6tW=0.666979605341855, savedb0=1.0039232681595205E-4, savedc1=1.4425688900172657E-6, savedb1=9.87328025034424E-7, savedb2=7.440585416280859E-5, savedb3=7.533642132073489E-4, savedb4=1.1336617581127525E-7, savedb5=3.0772443087985016E-8, saveda5=0.021133954337086078, savedb6=2.3275388179578925E-6, saveda6=0.021833742553081358, savedb7=0.29307111489138066, saveda7=0.023765758174487776, savedb8=7.80804937062135E-7, saveda8=0.022827319392114666, savedb9=1.5215307942298683E-10, saveda9=0.019589653413769694}
{saved1=2.970058773128704E-5, saveda10=7.048581734607385E-9, saved3=2.169269511336852E-13, savedb10=3.160457906426677E-5, CFJ6UW6tW=1.2897252101529625E-10, savedb0=0.0020972212877906774, savedc1=8.538485161770004E-8, savedb1=0.0016519642699515233, savedb2=8.002592865655391E-8, savedb3=1.1854191694456497E-7, savedb4=6.638957343832614E-5, savedb5=0.9936573295500918, saveda5=3.774398918813074E-5, savedb6=0.0011980168223515034, saveda6=4.2941073403429874E-5, savedb7=9.569730193986489E-8, saveda7=4.710092835133691E-5, savedb8=1.3224132072956788E-9, saveda8=4.4929762218965695E-5, savedb9=2.257655928253054E-4, saveda9=4.342633502843969E-5}
{saved1=2.9700587732159273E-5, saveda10=7.048581737522977E-9, saved3=2.1692695104814747E-13, savedb10=3.160457906641634E-5, CFJ6UW6tW=1.2897252103356797E-10, savedb0=0.002097221287853256, savedc1=8.538485160751026E-8, savedb1=0.0016519642699948467, savedb2=8.002592865238195E-8, savedb3=1.185419169572326E-7, savedb4=6.638957343814737E-5, savedb5=0.9936573295504011, saveda5=3.7743989189288126E-5, savedb6=0.0011980168224428448, saveda6=4.2941073404749436E-5, savedb7=9.569730194881807E-8, saveda7=4.7100928352736366E-5, savedb8=1.3224132069476488E-9, saveda8=4.492976222032035E-5, savedb9=2.2576559275722135E-4, saveda9=4.3426335029702895E-5}
{saved1=2.9700587732377588E-5, saveda10=7.04858173825259E-9, saved3=2.1692695102674338E-13, savedb10=3.16045790669541E-5, CFJ6UW6tW=1.2897252103813946E-10, savedb0=0.0020972212878689013, savedc1=8.538485160496034E-8, savedb1=0.0016519642700056833, savedb2=8.002592865133711E-8, savedb3=1.1854191696040213E-7, savedb4=6.638957343810244E-5, savedb5=0.9936573295504785, saveda5=3.7743989189577825E-5, savedb6=0.0011980168224657115, saveda6=4.294107340507964E-5, savedb7=9.569730195105891E-8, saveda7=4.7100928353086665E-5, savedb8=1.3224132068605688E-9, saveda8=4.4929762220659375E-5, savedb9=2.2576559274018336E-4, saveda9=4.3426335030018926E-5}
{saved1=1.2102956037941485E-4, saveda10=7.400267111534036E-4, saved3=8.780017273490907E-9, savedb10=5.620218857227724E-9, CFJ6UW6tW=7.911083937335437E-4, savedb0=9.145088342666662E-5, savedc1=4.7590840755077664E-4, savedb1=2.9848981665727793E-6, savedb2=2.9065267619024974E-8, savedb3=3.854934844781795E-10, savedb4=9.848339821770734E-7, savedb5=1.3626701569325373E-5, saveda5=1.234241221788921E-4, savedb6=4.740385728377198E-5, saveda6=1.471000511204878E-4, savedb7=0.9975435313899759, saveda7=1.7789213816333838E-4, savedb8=3.296985262957653E-12, saveda8=1.7000950390199204E-4, savedb9=4.258129853795636E-13, saveda9=1.5023082992980766E-4}
