{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.14762744009169068, saveda10=2.1992302291055913E-4, saved3=1.0594418747604455E-5, savedb10=3.281776615465077E-5, CFJ6UW6tW=3.623132414704348E-4, savedb0=8.605210843302152E-5, savedc1=8.833516499372748E-4, savedb1=1.7945152718340082E-4, savedb2=7.988388539155069E-6, savedb3=7.429989061336708E-4, savedb4=2.3914284176345207E-7, savedb5=7.730264949570844E-5, saveda5=0.15780126501135774, savedb6=0.0013256868809614435, saveda6=0.16464901101922008, savedb7=7.424603267474388E-4, saveda7=0.16941902359794678, savedb8=9.83883947934262E-4, saveda8=0.16953477268050124, savedb9=3.959226505336295E-4, saveda9=0.15960243194895538}
{saved1=0.14742533971200503, saveda10=2.4764325540009726E-4, saved3=9.82707289326751E-6, savedb10=3.365907883006318E-5, CFJ6UW6tW=4.0658677003808664E-4, savedb0=9.074577980060172E-5, savedc1=8.098320342950052E-4, savedb1=1.7991315869935983E-4, savedb2=8.101288594266913E-6, savedb3=7.843418736653328E-4, savedb4=2.4768439449823056E-7, savedb5=7.649386404162994E-5, saveda5=0.15755913287898568, savedb6=0.001302960833450601, saveda6=0.1644196637811615, savedb7=7.968270836060709E-4, saveda7=0.169182476340084, savedb8=9.011228380735682E-4, saveda8=0.16929010712638143, savedb9=3.572600519343918E-4, saveda9=0.1593519003679161}
{saved1=0.14719850425513192, saveda10=2.7988831025381965E-4, saved3=9.092924042509624E-6, savedb10=3.453387718607073E-5, CFJ6UW6tW=4.5741418096680194E-4, savedb0=9.577420051276824E-5, savedc1=7.404256937286625E-4, savedb1=1.8034720739633776E-4, savedb2=8.217136885470887E-6, savedb3=8.289678013860091E-4, savedb4=2.567418914644749E-7, savedb5=7.566749064127212E-5, saveda5=0.15729128666542688, savedb6=0.0012800647316582306, saveda6=0.16416374376770448, savedb7=8.561737586903044E-4, saveda7=0.16891910521793368, savedb8=8.231808205145087E-4, saveda8=0.16901802144962116, savedb9=3.21417943018106E-4, saveda9=0.15907356823025673}
{saved1=0.14742533971200503, saveda10=2.4764325540009726E-4, saved3=9.82707289326751E-6, savedb10=3.365907883006318E-5, CFJ6UW6tW=4.0658677003808664E-4, savedb0=9.074577980060172E-5, savedc1=8.098320342950052E-4, savedb1=1.7991315869935983E-4, savedb2=8.101288594266913E-6, savedb3=7.843418736653328E-4, savedb4=2.4768439449823056E-7, savedb5=7.649386404162994E-5, saveda5=0.15755913287898568, savedb6=0.001302960833450601, saveda6=0.1644196637811615, savedb7=7.968270836060709E-4, saveda7=0.169182476340084, savedb8=9.011228380735682E-4, saveda8=0.16929010712638143, savedb9=3.572600519343918E-4, saveda9=0.1593519003679161}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.14764734264266122, saveda10=2.172464025758969E-4, saved3=1.0676747938437375E-5, savedb10=3.273159489479491E-5, CFJ6UW6tW=3.580097991112889E-4, savedb0=8.557858761095692E-5, savedc1=8.912991414049535E-4, savedb1=1.7940221033129278E-4, savedb2=7.976689457846181E-6, savedb3=7.388459006235512E-4, savedb4=2.3827587458756225E-7, savedb5=7.738664232289983E-5, saveda5=0.15782531751428122, savedb6=0.0013280650455400435, saveda6=0.16467167617449924, savedb7=7.370220896373338E-4, saveda7=0.16944243231278003, savedb8=9.928454065202094E-4, saveda8=0.1695589983188692, savedb9=4.001478778950151E-4, saveda9=0.15962724626258903}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.018150568302880716, saveda10=0.43048762393792994, saved3=6.364159218905001E-7, savedb10=5.827965622197516E-7, CFJ6UW6tW=0.6669951248667834, savedb0=1.0044168039939852E-4, savedc1=1.4417729310549655E-6, savedb1=9.877264893517335E-7, savedb2=7.440998611747511E-5, savedb3=7.537246643296347E-4, savedb4=1.1339320140486379E-7, savedb5=3.07840606069156E-8, saveda5=0.021139161466022682, savedb6=2.328333402168349E-6, saveda6=0.02183913282583602, savedb7=0.29300309670860597, saveda7=0.023771478719463942, savedb8=7.810835887182967E-7, saveda8=0.022832851314173494, savedb9=1.5223477350568786E-10, saveda9=0.019594534217435403}
{saved1=0.1479077758656127, saveda10=1.82616138357742E-4, saved3=1.1913633167495105E-5, savedb10=3.151630383417231E-5, CFJ6UW6tW=3.0180381953046645E-4, savedb0=7.905462113527117E-5, savedc1=0.0010120922819060025, savedb1=1.7865353330563267E-4, savedb2=7.810032668552054E-6, savedb3=6.819500602777901E-4, savedb4=2.262357459498357E-7, savedb5=7.858856808795E-5, saveda5=0.15814484505235668, savedb6=0.001362419339424055, saveda6=0.16497011333638092, savedb7=6.632549206807109E-4, saveda7=0.16975135422080018, savedb8=0.001129256959991551, saveda8=0.16987914661333628, savedb9=4.6527998116190414E-4, saveda9=0.15995552819340328}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.0013364488057815717, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
